posKeywordRelevance,negKeywordRelevance,posSentimentStrength,negSentimentStrength,numberPositive,numberNegative,numberNeutral,Buy5Days,Buy15Days
0.66689419,0.164176399,0.006468592,-0.003225022,47,15,14,1,1
0.472844044,0.38089724,0.009660215,-0.015659242,47,38,15,1,1
0.697104058,0.077130912,0.0095445,-0.090040637,69,8,23,1,1
0.430356653,0.401472721,0.011694685,-0.009302895,43,39,18,1,1
0.479106123,0.273133439,0.013739713,-0.016266078,47,28,25,1,1
0.508205907,0.285805313,0.014852225,-0.003804158,51,29,20,0,1
0.388471284,0.328963181,0.013830378,-0.008443019,41,35,24,1,1
0.553291624,0.335621146,0.009975074,-0.014752965,53,35,12,0,1
0.512716308,0.261705874,0.008081795,-0.013658932,51,28,21,1,1
0.673045808,0.193700018,0.008953599,-0.020106209,66,20,14,1,1
0.535270645,0.211446457,1.79E-05,-0.018373461,54,22,24,0,0
0.438681043,0.221968166,0.009743104,-0.017693789,45,24,31,0,0
0.299305465,0.536364023,0.01160038,-0.0295571,6,8,3,1,1
0.390449149,0.237302581,0.003900957,-0.009472912,39,25,36,1,1
0.537177932,0.287104651,0.003522874,-0.011468057,55,30,15,1,1
0.489644466,0.245404459,0.008067195,-0.012286586,50,25,25,1,1
0.605434363,0.154997493,0.003395453,-0.017314672,61,16,23,1,1
0.551445408,0.275356727,0.006225586,-0.011609721,55,28,17,1,1
0.472837475,0.161490328,0.009083056,-0.023467448,50,17,33,1,1
0.685834101,0.059133835,0.006029908,-0.077719262,69,6,25,1,0
0.55569927,0.278603958,0.00623467,-0.015132475,55,29,16,0,0
0.565997434,0.163081442,0.008352239,-0.017220829,57,16,27,1,1
0.605759849,0.213760118,0.003234069,-0.013077771,59,22,19,1,1
0.487373678,0.238136104,0.007043574,-0.001924335,48,24,28,1,0
0.731056789,0.139378124,0.002834505,-0.023187265,73,14,13,0,1
0.440764638,0.159891819,0.019557264,-0.006424479,27,8,19,1,1
0.544316146,0.15991873,0.006174512,-0.01457849,56,16,28,0,0
0.487435647,0.258190662,0.004069598,-0.022188468,50,27,23,1,1
0.370083554,0.248211657,0.012350184,-0.012694235,36,27,36,1,1
0.495412844,0.217173151,0.005142935,-0.009540634,48,22,29,1,0
