date,ticker,fileName,posKeywordRelevance,negKeywordRelevance,posSentimentStrength,negSentimentStrength,numberPositive,numberNegative,numberNeutral,stockDay1,stockDay5,stockDay15,indexDay1,indexDay5,indexDay15
2015-04-14,WFC,2015-04-14-Morning WFC.txt,0.6054343625492938,0.15499749310835592,0.0033954528427771573,-0.01731467159478,61,16,23,53.995,54.175,55.355,24.38,24.32,24.51
2015-04-15,BAC,2015-04-15-Morning BAC.txt,0.5514454078682325,0.2753567269885038,0.006225586349923888,-0.011609720968727956,55,28,17,15.64,15.55,16.36,24.41,24.13,24.46
2015-04-15,PNC,2015-04-15-Morning PNC.txt,0.47283747473943477,0.1614903280560373,0.009083055998140112,-0.023467447835095682,50,17,33,92.05,91.07,93.3,24.41,24.13,24.46
2015-04-16,BLK,2015-04-16-Morning BLK.txt,0.6858341007626845,0.05913383460890662,0.006029907608944594,-0.07771926232817811,69,6,25,369.69,368.5,363.5,24.34,24.24,24.14
2015-04-16,C,2015-04-16-Morning C.txt,0.5556992697622597,0.278603957878143,0.006234670081326602,-0.015132475107486266,55,29,16,53.46,52.96,52.59,24.34,24.24,24.14
2015-04-16,GS,2015-04-16-Morning GS.txt,0.5659974342841494,0.16308144189992635,0.008352238634892825,-0.01722082908879992,57,16,27,197.19,197.51,195.61,24.34,24.24,24.14
2015-04-20,MS,2015-04-20-Morning MS.txt,0.6057598486717793,0.213760117518865,0.00323406927510655,-0.013077770527717091,59,22,19,36.81,37.29,37.85,24.32,24.31,24.76
2015-04-22,ACE,2015-04-22-Morning ACE.txt,0.48737367804472836,0.23813610421986792,0.0070435736503854955,-0.0019243346106518424,48,24,28,107.58,108.57,107.05,24.24,24.19,24.58
2015-04-22,BK,2015-04-22-Morning BK.txt,0.7310567886487717,0.139378124402056,0.002834504909011875,-0.02318726465055472,73,14,13,42.34,42.21,43.09,24.24,24.19,24.58
2015-04-23,COF,2015-04-23-Afternoon COF.txt,0.44076463781676883,0.15989181860911894,0.01955726365612605,-0.006424479194067108,27,8,19,79.69,79.83,84.12,24.27,24.25,24.71
2015-04-24,SPG,2015-04-24-Morning SPG.txt,0.5443161455870539,0.1599187301438812,0.006174512391997267,-0.014578490488715155,56,16,28,188.24,180.26,185.44,24.31,24.26,24.82
2015-05-01,AIG,2015-05-01-Morning AIG.txt,0.4874356474402223,0.25819066211447417,0.004069598178083213,-0.022188467583134534,50,27,23,58,59.44,60.13,24.44,24.54,24.8
2015-05-07,MET,2015-05-07-Morning MET.txt,0.3700835540032704,0.24821165717426155,0.012350184424122168,-0.012694235196061832,36,27,36,51.93,53.28,52.79,24.54,24.71,24.82
2015-05-07,PRU,2015-05-07-Morning PRU.txt,0.49541284403669705,0.21717315087548905,0.005142935376864812,-0.009540633525100341,48,22,29,84.89,85.99,85.17,24.54,24.71,24.82
